customer_id,age,gender,education,employment_status, annual_income ,marital_status,number_of_children,region,annual_spending,credit_score,loyalty_years,payment_type,online_shopper,churn
1.00,43.00,Male,High School,Employed,36939.42,Married,3.00,Suburban,9034.57,439.00,19.00,Debit Card,No,No
2.00,36.00,Male,Diploma,Self-Employed,40943.14,Married,0.00,Suburban,7949.83,446.00,9.00,Mobile Money,No,No
3.00,45.00,Male,PhD,Employed,81559.11,Married,2.00,Urban,34276.90,527.00,18.00,Credit Card,Yes,No
4.00,56.00,Male,Bachelor,Employed,53075.37,Single,0.00,Urban,19219.62,498.00,35.00,Credit Card,No,No
5.00,35.00,Female,Diploma,Employed,46630.28,Married,1.00,Rural,10544.99,488.00,15.00,Debit Card,No,No
6.00,35.00,Male,Bachelor,Employed,45729.72,Single,0.00,Rural,13366.91,442.00,16.00,Debit Card,Yes,No
7.00,56.00,Male,Diploma,Employed,48397.50,Married,5.00,Urban,14143.90,515.00,36.00,Credit Card,Yes,No
8.00,47.00,Female,Diploma,Unemployed,5000.00,Married,1.00,Suburban,1000.00,383.00,22.00,Credit Card,No,No
9.00,32.00,Male,Diploma,Employed,38026.03,Married,1.00,Urban,14626.10,432.00,7.00,Credit Card,Yes,No
10.00,44.00,Female,Diploma,Employed,28695.39,Married,2.00,Suburban,9383.73,379.00,18.00,Debit Card,No,No
11.00,32.00,Female,Bachelor,Student,5000.00,Single,0.00,Suburban,4319.57,341.00,5.00,Mobile Money,Yes,No
12.00,32.00,Male,Bachelor,Employed,57931.61,Married,0.00,Urban,13470.59,497.00,5.00,Mobile Money,No,Yes
13.00,40.00,Female,Master,Self-Employed,82577.51,Married,1.00,Urban,29837.59,508.00,20.00,Debit Card,No,No
14.00,18.00,Female,High School,Unemployed,5000.00,Single,0.00,Suburban,1000.00,344.00,0.00,Credit Card,Yes,No
15.00,18.00,Male,Master,Employed,65867.09,Single,0.00,Urban,24128.48,465.00,0.00,Mobile Money,No,No
16.00,31.00,Male,Diploma,Employed,43534.60,Married,0.00,Suburban,7642.79,475.00,5.00,Credit Card,Yes,No
17.00,25.00,Female,Diploma,Self-Employed,45054.80,Single,0.00,Urban,9803.34,397.00,0.00,Cash,Yes,No
18.00,41.00,Female,Master,Self-Employed,82410.55,Married,4.00,Rural,33433.45,546.00,18.00,Debit Card,Yes,No
19.00,27.00,Female,Diploma,Employed,36812.35,Married,3.00,Urban,12338.91,409.00,7.00,Mobile Money,Yes,No
20.00,21.00,Male,High School,Employed,25341.58,Single,0.00,Urban,9810.64,443.00,0.00,Credit Card,No,No
21.00,55.00,Female,High School,Employed,25237.30,Married,3.00,Urban,2438.76,520.00,30.00,Debit Card,No,No
22.00,35.00,Male,Diploma,Unemployed,7002.42,Married,0.00,Rural,2221.39,416.00,11.00,Debit Card,Yes,No
23.00,38.00,Female,Bachelor,Employed,48974.86,Single,0.00,Urban,19366.82,498.00,19.00,Cash,Yes,No
24.00,20.00,Female,PhD,Student,9861.64,Single,0.00,Suburban,4818.34,351.00,0.00,Credit Card,Yes,No
25.00,31.00,Female,Bachelor,Student,7962.30,Married,3.00,Urban,1256.93,373.00,12.00,Debit Card,Yes,No
26.00,39.00,Female,Master,Self-Employed,78880.58,Married,2.00,Urban,28899.99,524.00,18.00,Mobile Money,Yes,No
27.00,24.00,Female,Bachelor,Self-Employed,57426.41,Single,0.00,Suburban,10841.72,472.00,1.00,Credit Card,Yes,Yes
28.00,42.00,Female,Master,Employed,76128.12,Married,2.00,Urban,30028.72,515.00,15.00,Cash,No,No
29.00,30.00,Male,High School,Employed,39861.09,Married,1.00,Rural,19675.60,406.00,6.00,Debit Card,Yes,Yes
30.00,34.00,Female,Master,Employed,69999.18,Single,0.00,Urban,22483.49,492.00,11.00,Credit Card,Yes,No
31.00,30.00,Female,Diploma,Employed,40531.78,Single,0.00,Urban,12466.73,425.00,6.00,Mobile Money,No,Yes
32.00,60.00,Male,Master,Employed,64459.49,Married,3.00,Urban,17585.70,511.00,41.00,Credit Card,Yes,No
33.00,37.00,Male,High School,Self-Employed,44536.25,Married,4.00,Urban,14736.43,513.00,15.00,Cash,No,No
34.00,25.00,Male,Bachelor,Employed,68905.45,Married,1.00,Urban,29573.94,514.00,0.00,Debit Card,Yes,No
35.00,47.00,Female,Bachelor,Self-Employed,64689.65,Single,0.00,Urban,14308.42,539.00,28.00,Mobile Money,No,No
36.00,23.00,Female,PhD,Employed,85828.43,Single,0.00,Urban,32224.12,508.00,1.00,Debit Card,Yes,No
37.00,40.00,Male,Bachelor,Employed,57731.80,Single,0.00,Rural,23237.63,494.00,22.00,Credit Card,No,No
38.00,18.00,Female,Diploma,Employed,41031.45,Single,0.00,Urban,18342.19,449.00,0.00,Credit Card,Yes,Yes
39.00,22.00,Male,Bachelor,Student,6998.76,Single,0.00,Rural,1000.00,381.00,0.00,Cash,No,No
40.00,40.00,Female,Diploma,Unemployed,15769.57,Single,0.00,Urban,1000.00,447.00,15.00,Debit Card,No,No
41.00,46.00,Male,High School,Employed,37505.26,Married,3.00,Rural,13106.69,473.00,23.00,Credit Card,Yes,No
42.00,40.00,Male,High School,Employed,23713.45,Married,1.00,Suburban,5061.22,465.00,14.00,Cash,No,No
43.00,36.00,Male,High School,Student,26336.27,Married,3.00,Urban,16876.47,397.00,16.00,Credit Card,Yes,Yes
44.00,34.00,Male,Bachelor,Employed,42736.46,Married,3.00,Rural,23821.59,399.00,13.00,Debit Card,No,No
45.00,20.00,Female,Master,Employed,63186.47,Single,0.00,Urban,30456.00,453.00,0.00,Credit Card,Yes,No
46.00,29.00,Female,Master,Employed,71871.74,Married,0.00,Urban,20034.43,480.00,7.00,Credit Card,Yes,No
47.00,32.00,Male,High School,Employed,47974.98,Married,0.00,Rural,19155.78,457.00,5.00,Credit Card,No,No
48.00,50.00,Male,High School,Employed,25499.27,Married,0.00,Urban,8944.49,465.00,32.00,Credit Card,No,No
49.00,42.00,Male,High School,Employed,21474.03,Married,1.00,Suburban,3653.26,397.00,21.00,Debit Card,Yes,No
50.00,18.00,Female,Diploma,Self-Employed,52393.93,Single,0.00,Rural,19801.98,474.00,0.00,Cash,No,No
51.00,41.00,Female,High School,Employed,28011.24,Married,2.00,Suburban,13342.41,432.00,15.00,Credit Card,Yes,No
52.00,33.00,Male,Diploma,Self-Employed,53322.05,Married,0.00,Suburban,25559.42,526.00,9.00,Cash,No,Yes
53.00,29.00,Female,Bachelor,Employed,54433.76,Single,0.00,Suburban,20187.49,453.00,5.00,Credit Card,Yes,No
54.00,45.00,Male,Bachelor,Employed,48142.67,Married,3.00,Suburban,8434.99,525.00,21.00,Credit Card,No,No
55.00,50.00,Female,Bachelor,Employed,73791.01,Married,2.00,Rural,32565.12,509.00,23.00,Credit Card,Yes,No
56.00,49.00,Female,Diploma,Self-Employed,24364.88,Married,2.00,Suburban,2134.16,447.00,28.00,Cash,Yes,No
57.00,27.00,Female,Bachelor,Employed,69561.91,Married,0.00,Suburban,21226.46,497.00,9.00,Credit Card,Yes,No
58.00,34.00,Female,Master,Employed,77466.10,Married,1.00,Suburban,19139.24,471.00,11.00,Credit Card,No,No
59.00,41.00,Female,Diploma,Employed,34035.29,Married,2.00,Suburban,16514.76,438.00,18.00,Credit Card,No,No
60.00,49.00,Female,High School,Self-Employed,50979.36,Married,5.00,Rural,14142.10,530.00,26.00,Debit Card,Yes,No
61.00,32.00,Female,Diploma,Employed,29028.65,Single,0.00,Urban,7336.76,416.00,9.00,Cash,Yes,No
